Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms)
13:30:00.000+02:00,13:45:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
13:45:00.000+02:00,14:00:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
14:00:00.000+02:00,14:15:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
14:30:00.000+02:00,14:45:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
14:45:00.000+02:00,15:00:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
16:15:00.000+02:00,16:30:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
16:30:00.000+02:00,16:45:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,16.92187397129298,,,,,,,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,2,16.92187397129298,72.17929458618164,,,,,,,0.390005816010675,0.4661886394023895,0.31382298469543457,122,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,16.92187397129298,50.83932876586914,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,96,,,,
17:30:00.000+02:00,17:45:00.000+02:00,8,16.92187397129298,233.78278992836871,,,,,,,0.47038371553910685,0.7462974190711975,0.31382298469543457,410,,,,
17:45:00.000+02:00,18:00:00.000+02:00,9,47.23447892467273,56.18967391783794,7.0,7,,,,,0.5155064127943385,0.5765162110328674,0.41227009892463684,115,,,,477965
18:00:00.000+02:00,18:15:00.000+02:00,15,73.99999571251206,49.38563632965088,15.0,15,45.576316833496094,5.214707851409912,45.576316833496094,5.214707851409912,0.6378415550695905,1.0341755151748657,0.42368435859680176,,,,,900000
