Start time,End time,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Inactive duration (ms),Walking duration (ms),Running duration (ms)
13:15:00.000+08:00,13:30:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
13:30:00.000+08:00,13:45:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
13:45:00.000+08:00,14:00:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
14:00:00.000+08:00,14:15:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
14:15:00.000+08:00,14:30:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
14:30:00.000+08:00,14:45:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
14:45:00.000+08:00,15:00:00.000+08:00,,,,17.02604103088379,,,,,,,50,26.69425392150879,0.4030238389968872,0.5391051769256592,0.26694250106811523,,900000,,
15:00:00.000+08:00,15:15:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
15:15:00.000+08:00,15:30:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
15:30:00.000+08:00,15:45:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
15:45:00.000+08:00,16:00:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
16:00:00.000+08:00,16:15:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
16:15:00.000+08:00,16:30:00.000+08:00,,,,17.02604103088379,,,,,,,1,,,,,,900000,,
16:30:00.000+08:00,16:45:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
16:45:00.000+08:00,17:00:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
17:00:00.000+08:00,17:15:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
17:15:00.000+08:00,17:30:00.000+08:00,,,,17.026041389858783,,,,,,,,,,,,,900000,,
17:30:00.000+08:00,17:45:00.000+08:00,,,,17.02604190215177,,,,,,,,,,,,,900000,,
17:45:00.000+08:00,18:00:00.000+08:00,,,,17.02604190215177,,,,,,,,,,,,,900000,,
18:00:00.000+08:00,18:15:00.000+08:00,,,,17.026041547600894,,,,,,,2,,,,,,770797,,
18:15:00.000+08:00,18:30:00.000+08:00,,,,17.02604103088379,,,,,,,2,,,,,,900000,,
18:30:00.000+08:00,18:45:00.000+08:00,,,,17.02604103088379,,,,,,,3,,,,,,900000,,
18:45:00.000+08:00,19:00:00.000+08:00,,,,17.02604103088379,,,,,,,23,,,,,,900000,,
19:00:00.000+08:00,19:15:00.000+08:00,,,,17.02604114862545,,,,,,,1,,,,,,900000,,
19:15:00.000+08:00,19:30:00.000+08:00,,,,17.026041358319905,,,,,,,1,,,,,,900000,,
19:30:00.000+08:00,19:45:00.000+08:00,,,,17.026041340066634,,,,,,,,,,,,,860875,,
19:45:00.000+08:00,20:00:00.000+08:00,,,,17.02604103088379,,,,,,,3,,,,,,900000,,
20:00:00.000+08:00,20:15:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
20:15:00.000+08:00,20:30:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
20:30:00.000+08:00,20:45:00.000+08:00,,,,17.0260408880463,,,,,,,,,,,,,900000,,
20:45:00.000+08:00,21:00:00.000+08:00,,,,17.026039653414053,,,,,,,,,,,,,900000,,
21:00:00.000+08:00,21:15:00.000+08:00,,,,17.026039653414053,,,,,,,,,,,,,900000,,
21:15:00.000+08:00,21:30:00.000+08:00,,,,17.026039480261737,,,,,,,1,,,,,,762446,,
21:30:00.000+08:00,21:45:00.000+08:00,,,,17.026039123535156,,,,,,,,,,,,,900000,,
21:45:00.000+08:00,22:00:00.000+08:00,,,,17.026039123535156,,,,,,,,,,,,,900000,,
22:00:00.000+08:00,22:15:00.000+08:00,,,,17.026039123535156,,,,,,,,,,,,,900000,,
22:15:00.000+08:00,22:30:00.000+08:00,,,,17.02604068765892,,,,,,,,,,,,,900000,,
22:30:00.000+08:00,22:45:00.000+08:00,,,,17.026041776730928,,,,,,,1,,,,,,900000,,
22:45:00.000+08:00,23:00:00.000+08:00,,,,17.026041566002924,,,,,,,77,44.71287822723389,5.588852806814918,10.839478492736816,0.3336781859397888,1,355420,,
23:00:00.000+08:00,23:15:00.000+08:00,,,,58.667028980163145,,,45.5756693,5.2241787,45.5756693,5.2241787,1013,714.5283737182617,1.697322716679902,11.457630157470703,0.6570745706558228,11,,691150,
23:15:00.000+08:00,23:30:00.000+08:00,,,,67.49848802458037,3.0,3,45.5776372,5.2215999,45.5776372,5.2215999,1161,738.0501493760827,0.9377658278015797,1.243904709815979,0.6299999952316284,12,62266,837734,
23:30:00.000+08:00,23:45:00.000+08:00,,,,26.172294751708606,,,45.5777896,5.2278409,45.5777896,5.2278409,198,119.56084877760388,4.690041041720653,13.087535858154297,0.6410085558891296,3,190512,151808,
23:45:00.000+08:00,00:00:00.000+08:00,,,,17.02604103088379,,,,,,,,,,,,,900000,,
